iter	Passed	Remaining
0	164	164285
1	167	83414
2	171	57097
3	175	43594
4	177	35350
5	180	29834
6	182	25894
7	184	22854
8	187	20617
9	189	18757
10	191	17213
11	192	15814
12	193	14728
13	195	13801
14	198	13021
15	202	12453
16	204	11825
17	206	11251
18	208	10752119	209	10282020	211	9852121	213	9502222	215	91323	202	8217
2424	222	8682525	224	8412626	226	8162727	229	7952828	231	7732929	234	7593030	236	7393131	238	7213232	240	7033333	242	6873434	244	6733535	246	6593636	249	6493737	251	63638	235	5799
39	237	5689
4040	256	6004141	258	5894242	259	5784343	261	5684444	263	55845	247	5139
46	249	5055
47	250	4967
4848	269	52349	253	4812
50	254	4738
51	256	4668
52	257	4600
53	258	4532
54	260	4469
55	262	4423
56	264	4369
57	265	4315
58	267	4262
59	268	4208
60	269	4156
6161	288	4366262	290	4316363	291	4266464	293	4216565	296	4196666	297	4146767	299	4096868	300	4056969	301	4017070	303	3967171	304	3927272	306	3887373	307	38574	291	3593
75	293	3564
76	294	3534
77	296	3507
78	298	3476
79	299	3447
80	301	3420
81	302	3391
82	304	3362
83	307	3356
8484	329	3548585	331	3518686	332	3488787	333	3458888	334	3428989	336	3399090	337	3369191	338	3349292	339	3319393	341	3299494	343	3269595	344	3249696	345	3219797	346	3199898	348	3169999	349	31410100	350	31210101	352	3101
102	353	3079
103	354	3056
104	355	3033
105	357	3018
106	359	30010107	360	29810108	361	29510109	363	29311110	364	29111111	365	28911112	366	28711113	367	28511114	369	28311115	370	28211116	371	280117	367	2746
118	370	2743
119	371	2727
120	373	2710
121	373	2691
122	375	2674
123	376	2658
124	377	2641
125	378	2626
126	379	2609
127	380	2595
128	382	2580
129	383	2565
13130	404	268131	386	2543
132	387	2528
13133	408	26413134	409	26213135	411	26113136	412	25913137	413	25813138	415	25713139	416	25514140	417	25414141	422	25514142	424	25414143	426	25314144	427	25214145	428	250146	410	2384
147	412	2374
148	414	2365
14149	436	24715150	438	24615151	440	2454
152	441	2442
153	442	2430
154	443	2419
155	444	2406
156	446	23915157	447	23815158	448	23715159	449	23616160	451	23516161	453	23416162	454	23316163	455	23216164	456	23116165	457	23016166	459	22916167	460	22716168	461	22616169	462	22617170	464	22517171	465	22417172	467	22317173	468	22217174	470	22117175	471	22017176	472	21917177	473	21817178	474	21717179	476	2169
180	477	2161
181	478	2152
182	480	2144
183	482	2141
184	484	2132
185	485	2123
186	486	2115
187	487	2107
188	489	2098
189	490	2090
190	491	2082
191	492	2074
192	494	2065
193	495	2057
194	496	2049
195	498	2044
196	499	2037
197	500	2028
198	501	2020
199	503	2012
200	504	2004
201	505	1996
202	506	1989
203	507	1981
204	509	1974
205	510	1966
206	511	1960
207	514	1960
208	516	1953
209	517	1946
210	518	1938
211	519	1931
212	520	1924
213	522	1917
214	523	1910
215	524	1903
216	525	1896
217	526	1889
218	529	1887
219	532	1887
220	533	1881
221	535	1875
222	536	1869
223	537	1862
224	538	1856
225	540	1850
226	541	1843
227	542	1837
228	544	1833
229	545	1826
230	546	1820
231	548	1815
232	549	1809
233	550	1802
234	551	1796
235	552	1789
236	554	1783
237	555	1777
238	556	1772
239	561	1777
240	562	1771
241	563	1765
242	564	1759
243	566	1754
244	567	1748
245	568	1742
246	569	1737
247	571	1733
248	574	1733
249	576	1728
250	577	1724
251	579	1719
252	580	1714
253	582	1710
254	583	1705
255	585	1701
256	586	1696
257	587	1691
258	589	1687
259	591	1683
260	592	1678
261	593	1672
262	595	1667
263	596	1662
264	597	1657
265	598	1652
266	599	1646
267	601	1641
